[2022.04.24 08:36:21:763] EVENT,mediaench vx found 29 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:764] EVENT,upnp port assigment failed -3 {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:764] EVENT,mediaench thread stop with succ 29 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:764] EVENT,set priority to min from mediaench122 (idle: false) {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:861] EVENT,mediaench upnp ok 5 0 [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:22:078] EVENT,stun answer received for local: 192.168.1.3:16910 as extern: 102.41.212.5:16910 from server port: 44446 [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:22:079] EVENT,udp nat from first server 102.41.212.5:16910 [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:22:148] EVENT,stun answer received for local: 192.168.1.3:16910 as extern: 102.41.212.5:16910 from server port: 44447 [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:22:148] EVENT,udp nat detected public: 102.41.212.5:16910 match: 2 private: 102.41.212.5:16910 public: 102.41.212.5:16910 [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:25:182] EVENT,save settings wpb [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:182] EVENT,save settings wp [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:183] EVENT,write file C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\u89wpcfg.dat (157) {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:183] EVENT, write config file (157) C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\u89wpcfg.dat {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:183] EVENT,general config saved 157 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:183] EVENT,write file C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\u89wpcfgex.dat (1442) {thread: 18} [inst: 3709]
[2022.04.24 08:36:25:184] EVENT, write config file (1442) C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\u89wpcfgex.dat {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:296] EVENT,Applet stop event skipped [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:300] EVENT,save settings wpb [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT,save settings wp [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT, applet destory event [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT,apicall API_Stop 0 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT,terminated
[2022.04.24 08:36:28:301] EVENT,NOTIFICATION_XRSS,STATUS,-1,Stop {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT,NOTIFICATION_XRSS,STOP,api {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:301] EVENT, DoStop 0 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT,NOTIFICATION_XRSS,STOP,api {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT,Applet stop 0 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT, switching idle state to false (from: 84555 charging: false byusergui: false interactive: -1 (0) ) {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT wpapi closing from 42. all: true, all: true, udp: true, tcpsrv: true, tcpsrv: true, tcpclient: true [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT,playsound oop 0 noep -1 , 0 false false false false [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:302] EVENT,stop file playback [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:310] EVENT,no playback in progress [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:319] EVENT,save settings wpb [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:320] EVENT,Applet stop event skipped [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:320] EVENT,save settings wpb [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:325] EVENT,save settings wp [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:333] EVENT, applet destory event [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:333] EVENT,apicall API_Stop 0 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:335] EVENT,terminated
[2022.04.24 08:36:28:336] EVENT,NOTIFICATION_XRSS,STATUS,-1,Stop {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:336] EVENT,NOTIFICATION_XRSS,STOP,api {thread: 18} [inst: 3709]
[2022.04.24 08:36:28:337] EVENT wpapi closing from 5. all: true, all: true, udp: true, tcpsrv: true, tcpsrv: true, tcpclient: true [wpapi] {thread: 27} [inst: 3709]
[2022.04.24 08:36:28:337] EVENT,async task MATASK_WPAPI_TCPUDP finished in 7230 msec with 0 (false/0//) {thread: 27} [inst: 3709]
